year,value
1950,1713
1951,4703
1952,6387
1953,8859
1954,6028
1955,6591
1956,8446
1957,8564
1958,9693
1959,7338
1960,5961
1961,6376
1962,5725
1963,9029
1964,12077
1965,11054
1966,8349
1967,7165
1968,8101
1969,11334
1970,8634
1971,11478
1972,10585
1973,11839
1974,12074
1975,15708
1976,15440
1977,14537
1978,14186
1979,9764
1980,10697
1981,13451
1982,13960
1983,13834
1984,11796
1985,10689
1986,11548
1987,12243
1988,11801
1989,11342
1990,10762
1991,12540
1992,14107
1993,13836
1994,11461
1995,11146
1996,10808
1997,14518
1998,15708
1999,11553
2000,7591
2001,5682
2002,4955
2003,5618
2004,6752
2005,6758
2006,7521
2007,7834
2008,6814
2009,6822
2010,8169
2011,9111
2012,9018
2013,7384
2014,10194
