country,year,value
Albania,1966,26
Albania,2011,0
Algeria,1968,6
Algeria,1980,6
Angola,1979,3
Angola,1980,0
Angola,1992,8
Angola,2002,2
Argentina,1962,6
Argentina,1964,4
Argentina,1967,0
Argentina,1968,8
Argentina,1970,0
Argentina,1972,11
Argentina,1976,1
Argentina,1979,8
Argentina,1980,1
Argentina,1981,24
Argentina,1982,3
Argentina,1983,1
Argentina,1984,9
Argentina,1987,4
Argentina,1990,6
Argentina,1991,0
Argentina,1993,11
Argentina,1994,4
Argentina,1995,5
Argentina,2000,2
Argentina,2001,6
Argentina,2006,2
Argentina,2011,1
Aruba,1996,18
Australia,1952,36
,1955,125
,1961,2
,1962,2
,1969,26
,1970,17
,1971,36
,1972,6
,1973,72
,1974,92
,1975,131
,1976,113
,1977,62
,1978,21
,1979,22
,1980,15
,1981,15
,1982,24
,1983,31
,1984,58
,1985,13
,1986,57
,1987,89
,1988,18
,1989,18
,1990,158
,1991,85
,1992,6
,1993,60
,1994,36
,1995,36
,1996,16
,1997,20
,1998,4
,2001,43
,2002,47
,2003,44
,2004,2
,2005,49
,2006,14
,2007,18
,2008,25
,2009,72
,2010,115
,2011,143
,2012,75
,2013,54
,2014,104
Austria,1964,0
,1965,0
,1966,1
,1967,1
,1968,1
,1969,1
,1970,1
,1971,1
,1972,1
,1973,1
,1974,0
,1975,0
,1978,37
,1979,126
,1980,54
,1981,73
,1982,60
,1983,56
,1984,58
,1985,348
,1986,40
,1987,30
,1988,12
,1989,12
,1990,30
,1991,20
,1992,20
,1993,10
,1994,17
,1997,13
,1998,23
,1999,35
,2000,36
,2001,29
,2002,95
,2003,3
,2004,3
,2005,4
,2006,63
,2007,100
,2008,15
,2009,42
,2010,48
,2011,46
,2012,21
,2013,24
,2014,19
Bahrain,2001,2
Bangladesh,1984,2
Belarus,1993,8
,1995,7
,1996,129
,1997,356
,1998,63
,1999,458
,2000,293
,2001,49
,2002,63
,2003,57
,2004,19
,2005,53
,2006,43
,2007,6
,2008,224
,2009,41
,2010,159
,2011,97
,2012,65
,2013,268
Belgium,1954,9
,1955,9
,1956,29
,1960,3
,1961,0
,1962,2
,1963,1
,1964,1
,1966,12
,1969,5
,1978,2
,1979,3
,1980,1
,1981,19
,1982,41
,1983,89
,1984,115
,1985,3
,1986,19
,1988,18
,1989,36
,1990,1
,1991,1
,1994,33
,1995,167
,1996,59
,1997,93
,1998,46
,1999,45
,2000,26
,2001,37
,2002,37
,2003,15
,2004,47
,2005,146
,2006,59
,2007,19
,2008,217
,2009,243
,2010,9
,2011,111
,2012,22
,2013,65
Bosnia-Herzegovina,2002,4
,2011,14
Botswana,2012,4
,2013,4
Brazil,1960,2
,1961,12
,1969,3
,1971,0
,1974,32
,1975,58
,1976,103
,1977,144
,1978,178
,1979,70
,1980,156
,1981,62
,1982,122
,1983,196
,1984,269
,1985,205
,1986,151
,1987,179
,1988,216
,1989,47
,1990,96
,1991,114
,1992,91
,1993,36
,1994,54
,1995,33
,1996,23
,1997,23
,1998,16
,2002,26
,2004,46
,2005,1
,2006,44
,2007,53
,2008,92
,2009,43
,2010,151
,2011,31
,2012,33
,2013,40
,2014,47
Brunei,2011,24
Bulgaria,1983,4
,1986,106
,1989,5
,1990,6
,1991,42
,1992,16
,1993,28
,1994,55
,1995,1
,1996,21
,1997,6
,1998,39
,1999,167
,2000,2
,2001,10
,2002,32
,2003,46
,2004,19
,2005,86
,2006,5
,2007,9
,2008,4
,2009,16
,2010,4
,2011,2
,2012,7
,2013,21
,2014,4
Cambodia,1993,0
,1994,0
,1995,0
,2000,1
Canada,1950,38
,1951,61
,1952,274
,1953,82
,1954,301
,1955,240
,1956,244
,1957,163
,1958,469
,1959,114
,1960,50
,1961,311
,1962,188
,1963,213
,1964,252
,1965,111
,1966,99
,1967,44
,1968,192
,1969,169
,1970,196
,1971,292
,1972,326
,1973,129
,1974,121
,1975,148
,1976,328
,1977,167
,1978,190
,1979,187
,1980,164
,1981,126
,1982,259
,1983,120
,1984,108
,1985,100
,1986,267
,1987,270
,1988,153
,1989,49
,1990,101
,1991,115
,1992,143
,1993,146
,1994,167
,1995,263
,1996,159
,1997,95
,1998,40
,1999,79
,2000,74
,2001,129
,2002,172
,2003,267
,2004,270
,2005,228
,2006,228
,2007,338
,2008,229
,2009,180
,2010,242
,2011,321
,2012,341
,2013,258
,2014,234
Chad,1987,20
,2014,1
Chile,1975,0
,1978,0
,1980,0
,1981,0
,1983,1
,1986,3
,1987,3
,1988,4
,1989,4
,1991,3
,1992,1
,1996,29
,1998,2
,1999,1
,2000,1
,2002,1
,2008,100
,2014,20
China,1954,3
,1956,39
,1957,30
,1958,463
,1959,361
,1960,285
,1961,35
,1962,51
,1963,11
,1964,61
,1965,419
,1966,619
,1967,410
,1968,680
,1969,607
,1970,843
,1971,1264
,1972,1210
,1973,674
,1974,511
,1975,694
,1976,612
,1977,224
,1978,617
,1979,560
,1980,949
,1981,642
,1982,1514
,1983,1773
,1984,1929
,1985,1278
,1986,1862
,1987,2606
,1988,1409
,1989,1040
,1990,941
,1991,1315
,1992,703
,1993,1436
,1994,1111
,1995,1013
,1996,769
,1997,435
,1998,353
,1999,332
,2000,302
,2001,515
,2002,518
,2003,693
,2004,386
,2005,281
,2006,643
,2007,479
,2008,591
,2009,1138
,2010,1459
,2011,1336
,2012,1666
,2013,2068
,2014,1083
Colombia,2002,5
Costa Rica,2008,0
Cote d'Ivoire,1971,1
Croatia,2000,2
Cuba,1975,1
,1978,12
,1979,10
,1980,8
Cyprus,1996,43
Czechoslovakia,1950,17
,1951,15
,1952,15
,1953,9
,1954,49
,1955,950
,1956,1560
,1957,1576
,1958,1530
,1959,939
,1960,623
,1961,200
,1962,173
,1963,133
,1964,267
,1965,325
,1966,412
,1967,409
,1968,495
,1969,656
,1970,421
,1971,414
,1972,642
,1973,661
,1974,860
,1975,705
,1976,795
,1977,797
,1978,831
,1979,796
,1980,784
,1981,905
,1982,914
,1983,1036
,1984,1081
,1985,1005
,1986,1231
,1987,1284
,1988,1339
,1989,1050
,1990,613
,1991,411
,1992,210
Czech Republic,1993,152
,1994,274
,1995,131
,1996,114
,1997,22
,1998,20
,1999,55
,2000,80
,2001,87
,2002,60
,2003,64
,2004,1
,2005,73
,2006,44
,2007,32
,2008,32
,2009,22
,2010,5
,2011,11
,2012,8
,2013,34
,2014,17
Denmark,1960,20
,1964,60
,1965,20
,1967,131
,1968,28
,1969,3
,1975,23
,1980,18
,1981,29
,1982,64
,1983,115
,1987,116
,1988,40
,1990,71
,1991,10
,1993,241
,1994,330
,1995,8
,1998,1
,1999,6
,2000,20
,2001,1
,2002,10
,2003,62
,2004,173
,2006,9
,2007,6
,2008,17
,2009,14
,2010,8
,2011,21
,2012,23
,2013,9
,2014,13
DR Congo,1979,1
East Germany (GDR),1960,17
,1961,25
,1962,17
,1963,29
,1964,39
,1965,26
,1974,11
,1976,12
,1977,26
,1978,14
,1979,35
,1980,35
,1981,43
,1982,3
,1986,39
,1987,116
,1988,116
,1989,149
,1990,77
Ecuador,2014,6
Egypt,1956,9
,1957,6
,1958,4
,1959,4
,1961,0
,1962,7
,1963,8
,1964,2
,1966,13
,1968,26
,1969,15
,1970,37
,1975,16
,1977,69
,1978,80
,1979,13
,1980,29
,1981,77
,1982,80
,1983,70
,1984,36
,1985,5
,1986,19
,1987,61
,1988,65
,1989,63
,1990,20
,1992,13
,1993,22
,1994,15
,1995,9
,1996,5
,1997,5
Eritrea,1998,2
,1999,0
Estonia,1996,8
Ethiopia,1985,22
,1987,51
,1997,17
Fiji,1984,10
Finland,1960,60
,1961,1
,1965,1
,1966,86
,1967,33
,1968,33
,1969,33
,1970,2
,1971,39
,1972,30
,1974,63
,1975,63
,1978,63
,1979,63
,1982,20
,1988,1
,1991,22
,1992,11
,1993,13
,1994,22
,1995,26
,1996,9
,1997,10
,1998,34
,1999,28
,2000,12
,2001,33
,2002,34
,2003,44
,2004,34
,2005,47
,2006,137
,2007,77
,2008,77
,2009,51
,2010,58
,2011,40
,2012,110
,2013,83
,2014,84
